NUMERO,NURAND,NOMBRE,TEXTO,@PRIMERA,@EXTRA 1,@EXTRA 2,@EXTRA 3,@DIBUJOS
46,25,EbCxPo-EbEsfPo-Eb4Cnt,Eme de espuma blanda con forma convexa y con textura porosa. Maza de espuma blanda con forma de esfera y con textura porosa. Apoyado en 4 bases continuas de espuma blanda.,E:\MMMMMMMM\PRIMERAS\emes46.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes210.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes212.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes211.jpg,E:\MMMMMMMM\DIBUJOS\46.png
47,20,AlCcLi-AlCyLi-AlPd,Eme de aluminio con forma cóncava y con textura lisa. Maza de aluminio con forma de cilindro y con textura lisa. Apoyado en pedestal de aluminio.,E:\MMMMMMMM\PRIMERAS\emes47.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes217.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes215.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes218.jpg,E:\MMMMMMMM\DIBUJOS\47.gif
48,67,MdPlnLi-MdDiLi-Md14Fs,Eme de madera con forma plana y con textura lisa. Maza de madera con forma de disco y con textura lisa. Apoyado en 14 patas fasciculadas de madera.,E:\MMMMMMMM\PRIMERAS\emes48.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes222.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes219.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes224.jpg,E:\MMMMMMMM\DIBUJOS\48.png
49,89,AlCcLi-X-Al4Rd,Eme de aluminio con forma cóncava y con textura lisa. Sin maza. Apoyado en 4 patas radiales de aluminio.,E:\MMMMMMMM\PRIMERAS\emes49.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes227.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes226.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes228.jpg,E:\MMMMMMMM\DIBUJOS\49.png
50,62,MdCyLi-MdPaLi-Md3Rd,Eme de madera con forma de cilindro y con textura lisa. Maza de madera con forma de palo y con textura lisa. Apoyado en 3 patas radiales de madera.,E:\MMMMMMMM\PRIMERAS\emes50.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes230.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes232.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes229.jpg,E:\MMMMMMMM\DIBUJOS\50.png
51,99,EbHd(LjAs)-EbCyPo-Al3Rd,Eme de espuma blanda con forma de hendidura y con textura áspera aplicada con lija. Maza de espuma blanda con forma de cilindro y con textura porosa. Apoyado en 3 patas radiales de aluminio.,E:\MMMMMMMM\PRIMERAS\emes51.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes237.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes234.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes235.jpg,E:\MMMMMMMM\DIBUJOS\51.png
52,3,MdPlnDn-MdEtmDn-MdCnt,Eme de madera con forma plana y con textura dentada. Maza de madera con forma estrellada y con textura dentada. Apoyado en base continua de madera.,E:\MMMMMMMM\PRIMERAS\emes52.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes241.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes242.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes238.jpg,E:\MMMMMMMM\DIBUJOS\52.png
53,16,AlCcLi-AlGrtyLi-Al3Fs,Eme de aluminio con forma cóncava y con textura lisa. Maza de aluminio con forma de garrote y con textura lisa. Apoyado en 3 patas fasciculadas de aluminio.,E:\MMMMMMMM\PRIMERAS\emes53.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes246.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes243.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes244.jpg,E:\MMMMMMMM\DIBUJOS\53.png
54,58,MdCy(MdPn)-MdPaPn-MdCnt,Eme de madera con forma de cilindro y con textura punzante aplicada con madera. Maza de madera con forma de palo y con textura punzante. Apoyado en base continua de madera.,E:\MMMMMMMM\PRIMERAS\emes54.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes247.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes248.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes249.jpg,E:\MMMMMMMM\DIBUJOS\54.png
55,59,TcToPo-TcGrtPo-Tc,Eme de terracota con forma de toroide y con textura porosa. Maza de terracota con forma de garrote y con textura porosa. Apoyado en base de terracota.,E:\MMMMMMMM\PRIMERAS\emes55.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes253.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes256.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes252.jpg,E:\MMMMMMMM\DIBUJOS\55.png
56,100,AlCyLi-AlCyLi-Al4Do,Eme de aluminio con forma de cilindro y con textura lisa. Maza de aluminio con forma de cilindro y con textura lisa. Apoyado en 4 patas en dolmen de aluminio.,E:\MMMMMMMM\PRIMERAS\emes56.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes262.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes264.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes260.jpg,E:\MMMMMMMM\DIBUJOS\56.png
57,109,PlCcLi-MdEsfLi-CtPd,Eme de plástico con forma cóncava y con textura lisa. Maza de madera con forma de esfera y con textura lisa. Apoyado en pedestal de cartón.,E:\MMMMMMMM\PRIMERAS\emes57.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes267.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes269.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes270.jpg,E:\MMMMMMMM\DIBUJOS\57.gif
